Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCO,Replaced N(C)C(=O)OCC with N(C)C(=O)OCCO to increase CO2 adsorption,1.004,0.088,3.56,493.48,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)C,Replaced N(C)C(=O)OCC with N(C)C(=O)OC(C)C to increase CO2 adsorption,1.037,0.084,3.55,491.5,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)(C)C,Replaced N(C)C(=O)OC(C)C with N(C)C(=O)OC(C)(C)C to increase CO2 adsorption,1.046,0.076,3.51,505.53,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)C,Replaced N(C)C(=O)OC(C)(C)C with N(C)C(=O)OCC(C)C to increase CO2 adsorption,1.052,0.081,3.54,505.53,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCC(C)C,Replaced N(C)C(=O)OCC(C)C with N(C)C(=O)OCCC(C)C to increase CO2 adsorption,1.067,0.078,3.54,519.56,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCC,Replaced N(C)C(=O)OCCC(C)C with N(C)C(=O)OCCCC to explore different chain length,1.061,0.079,3.52,505.53,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC1CC1,Replaced N(C)C(=O)OCCCC with N(C)C(=O)OC1CC1 to explore cyclic structures,1.058,0.082,3.57,503.51,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCl,Replaced N(C)C(=O)OC1CC1 with N(C)C(=O)OCCCl to explore halogenated groups,1.043,0.085,3.53,497.9,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCO,Replaced N(C)C(=O)OCCCl with N(C)C(=O)OCCO to explore hydroxyl groups,1.004,0.088,3.56,493.48,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC=C,Replaced N(C)C(=O)OCCO with N(C)C(=O)OCC=C to explore unsaturated groups,1.031,0.087,3.51,489.49,Valid
20,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC#C,Replaced N(C)C(=O)OCC=C with N(C)C(=O)OCC#C to explore alkyne groups,1.019,0.089,3.53,487.47,Valid
